#{"t_start": 1744592436.020156, "env_id": "None"}
r,l,t
-151.046628,200,206.273774
-165.271042,200,206.60827
-154.771013,200,206.924807
-152.367954,200,207.240403
-156.090279,200,207.643358
-146.813282,200,207.994371
-160.968385,200,208.339989
-154.095317,200,208.674168
-168.484443,200,209.081625
-153.368608,200,209.464681
-149.838491,200,209.869066
-156.979039,200,210.312602
-175.099609,200,210.736928
-184.066609,200,211.122854
-179.679115,200,211.513051
-182.705566,200,211.896111
-174.159266,200,212.284204
-183.19683,200,212.665358
-220.553622,200,213.058632
-196.246399,200,213.434364
-158.758914,200,213.823037
-161.735877,200,214.188226
-167.006887,200,214.489933
-148.001579,200,214.767375
-178.288831,200,215.06557
-171.158271,200,215.364122
-229.783893,200,215.667131
-177.791621,200,215.950836
-190.526492,200,216.25818
-160.980053,200,216.544204
-224.37337,200,216.85642
-235.3931,200,217.142959
-227.351825,200,217.455971
-232.588026,200,217.852152
-237.582202,200,218.169768
-190.094169,200,218.459647
-171.551942,200,218.757813
-251.547096,200,219.054373
-231.590383,200,219.352441
-232.932491,200,219.639058
-231.294743,200,219.939793
-259.875302,200,220.221661
-197.267653,200,220.513874
-214.067226,200,220.793421
-241.227761,200,221.094223
-240.355048,200,221.385844
-253.493714,200,221.719563
-216.905064,200,222.030124
-174.620166,200,222.330394
-173.065187,200,222.618361
-216.358898,200,222.942179
-237.401851,200,223.363733
-235.386074,200,223.956736
-261.555277,200,224.789762
-230.38901,200,225.498582
-240.245478,200,226.058984
-242.90045,200,226.889322
-227.820976,200,227.310489
-253.546219,200,227.944242
-237.91867,200,228.238768
-233.520532,200,228.624963
-238.085181,200,228.924537
-241.778806,200,229.229895
-226.266865,200,229.512499
-217.666077,200,229.903491
-233.364202,200,230.192926
-237.927757,200,230.48243
-252.682121,200,230.781064
-235.03693,200,231.079034
-225.912239,200,231.357887
-245.971058,200,231.649715
-235.51211,200,231.926944
-251.263257,200,232.285287
-211.932285,200,232.635329
-244.984858,200,232.978562
-226.054878,200,233.314286
-227.24239,200,233.662401
-237.922922,200,233.942143
-231.611956,200,234.242166
-235.432353,200,234.527477
-244.178534,200,234.979775
-232.208109,200,235.474435
-231.815707,200,235.850756
-222.109082,200,236.22562
-229.387311,200,236.533015
-223.458709,200,236.829182
-254.21,200,237.144321
-201.237582,200,237.428151
-240.12257,200,237.762994
-227.152689,200,238.052823
-232.899926,200,238.346579
-229.290186,200,238.628151
-237.496782,200,238.907088
-214.534704,200,239.18139
-238.222086,200,239.549084
-213.121894,200,239.848266
-238.479472,200,240.152694
-228.419119,200,240.420045
-218.917204,200,240.702182
-224.49812,200,240.981892
-229.164938,200,241.26688
-222.969508,200,241.530442
-246.742472,200,241.831719
-230.217458,200,242.134989
-209.413098,200,242.425375
-212.040033,200,242.706866
-217.157023,200,242.993066
-228.750102,200,243.286225
-229.101427,200,243.586418
-203.610312,200,243.883872
-217.69761,200,244.201923
-221.072387,200,244.491795
-188.245204,200,244.823224
-183.085434,200,245.124066
-170.441889,200,245.418842
-223.535452,200,245.735157
-231.068315,200,246.125547
-224.469139,200,246.444816
-189.788869,200,246.804482
-180.100788,200,247.101692
-235.417746,200,247.404321
-176.149248,200,247.70461
-220.373632,200,248.049985
-198.896054,200,248.356549
-163.845175,200,248.661408
-209.167136,200,248.958701
-207.140848,200,249.259843
-234.514182,200,249.558239
-207.557402,200,249.863412
-188.525047,200,250.167413
-193.248445,200,250.54749
-212.780236,200,250.871017
-190.592285,200,251.289138
-198.900475,200,251.678521
-191.92994,200,252.027756
-209.438414,200,252.333943
-211.921562,200,252.661472
-223.401241,200,252.946225
-216.928247,200,253.312797
-209.602558,200,253.628395
-232.056375,200,253.938384
-205.391057,200,254.218667
-193.396051,200,254.586002
-248.072777,200,254.862335
-219.671303,200,255.167324
-222.372008,200,255.524647
-230.066377,200,255.845385
-220.844035,200,256.244764
-234.071322,200,256.642876
-215.362941,200,256.98716
-229.182415,200,257.259816
-242.023578,200,257.60098
-233.707282,200,257.926227
-219.724579,200,258.249992
-244.98465,200,258.544153
-209.564888,200,258.823658
-206.313559,200,259.108171
-222.636692,200,259.393572
-226.11725,200,259.676044
-234.798678,200,259.955773
-222.324477,200,260.239682
-210.14815,200,260.517187
-234.559554,200,260.944495
-241.517022,200,261.357857
-225.620222,200,261.869223
-211.174685,200,262.621168
-196.59993,200,263.546894
-193.456704,200,264.092641
-233.429102,200,264.834732
-202.054085,200,265.422137
-187.543341,200,265.954667
-216.414096,200,266.652362
-242.924704,200,267.15717
-208.234768,200,267.676204
-201.005567,200,268.337001
-181.16312,200,268.90494
-219.219458,200,269.683923
-233.065588,200,270.345311
-195.104152,200,270.827933
-191.656357,200,271.128515
-178.661895,200,271.443695
-194.211637,200,271.739411
-220.516695,200,272.054288
-250.288003,200,272.358201
-188.091301,200,272.65873
-218.13384,200,272.960322
-234.513052,200,273.267852
-216.349122,200,273.568009
-207.10075,200,273.870516
-236.057775,200,274.178439
-254.005996,200,274.493839
-226.722146,200,274.859093
-186.356212,200,275.17098
-205.761734,200,275.467653
-205.33726,200,275.807151
-228.951412,200,276.116079
-231.723422,200,276.427608
-176.258973,200,276.72524
-231.191871,200,277.041382
-236.176114,200,277.349408
-253.33775,200,277.66941
-158.055521,200,277.966057
-248.526607,200,278.275195
-248.682909,200,278.572484
-237.913392,200,278.861485
-187.790556,200,279.122207
-206.401554,200,279.399001
-236.468006,200,279.718899
-231.989898,200,280.012442
-228.090823,200,280.286137
-227.601113,200,280.574562
-252.342821,200,280.848114
-223.772402,200,281.132496
-226.944138,200,281.405259
-182.342789,200,281.678068
-218.00988,200,281.957193
-183.080353,200,282.231184
-180.610838,200,282.501919
-182.438261,200,282.785139
-201.373576,200,283.059479
-208.602393,200,283.339111
-208.587172,200,283.615611
-208.226631,200,283.894227
-150.489926,200,284.156247
-192.285257,200,284.425663
-166.434949,200,284.684289
-202.491076,200,284.961161
-176.791482,200,285.222022
-163.605458,200,285.514174
-169.415538,200,285.781566
-224.856133,200,286.069001
-187.978692,200,286.342658
-201.691545,200,286.63344
-202.631358,200,286.918782
-218.941134,200,287.21286
-202.443144,200,287.504854
-223.1398,200,287.799287
-225.169249,200,288.090013
-207.763141,200,288.388912
-212.298402,200,288.682842
-236.437808,200,289.083024
-215.793143,200,289.374506
-234.673987,200,289.66707
-203.262835,200,289.951805
-209.592597,200,290.244062
-189.134895,200,290.535451
-235.029667,200,290.837903
-189.848623,200,291.123216
-226.33473,200,291.455956
-215.191179,200,291.743244
-172.271085,200,292.04028
-239.955962,200,292.329645
-227.579525,200,292.6271
-233.228102,200,292.928624
-228.345292,200,293.241409
-233.066118,200,293.525647
-175.62395,200,293.871298
-203.188885,200,294.161479
-231.831104,200,294.493327
-192.22355,200,294.797857
-221.570179,200,295.081183
-236.378431,200,295.450073
-225.819847,200,295.758924
-231.970918,200,296.056323
-216.017584,200,296.351677
-237.068525,200,296.639238
-226.143467,200,296.945947
-236.285567,200,297.237956
-213.273178,200,297.557169
-225.996118,200,297.837055
-202.439083,200,298.12128
-222.465992,200,298.403985
-235.527605,200,298.711017
-226.608753,200,299.002419
-229.806455,200,299.300459
-224.794051,200,299.586185
-228.866446,200,299.905516
-210.02829,200,300.212734
-227.473416,200,300.594153
-235.417658,200,301.000715
-225.433562,200,301.348737
-242.664636,200,301.65856
-232.579125,200,301.961237
-227.520758,200,302.288168
-224.116424,200,302.604048
-227.05576,200,302.923743
-225.354042,200,303.226749
-249.159876,200,303.512505
-176.14993,200,303.902649
-237.841995,200,304.188837
-245.494209,200,304.474186
-217.083748,200,304.755725
-227.353414,200,305.05232
-240.501134,200,305.341248
-234.960371,200,305.641022
-218.683351,200,305.921213
-214.459012,200,306.225068
-230.092954,200,306.536224
-202.470042,200,306.829195
-218.159698,200,307.135085
-248.996826,200,307.458478
-218.417248,200,307.743614
-240.638249,200,308.05175
-249.372105,200,308.351404
-232.544344,200,308.678193
-210.270474,200,308.981749
-219.349268,200,309.307952
-220.440853,200,309.586053
-245.786651,200,309.90989
-230.428474,200,310.242659
-236.208336,200,310.534372
-230.385613,200,310.826905
-246.918845,200,311.152825
-227.251098,200,311.430963
-231.973618,200,311.736044
-245.385332,200,312.046391
-219.836116,200,312.351337
-220.712184,200,312.627368
-219.644713,200,312.928631
-223.29544,200,313.211477
-221.871039,200,313.506985
-227.003318,200,313.796236
-236.115939,200,314.128178
-244.375093,200,314.434161
-222.37668,200,314.776675
-236.7598,200,315.147588
-227.924891,200,315.464384
-223.223609,200,315.772554
-228.381658,200,316.166413
-236.3527,200,316.545213
-224.910298,200,316.923279
-244.661739,200,317.294169
-232.256486,200,317.694501
-229.642205,200,318.079146
-223.536203,200,318.465365
