#{"t_start": 1744587659.6995637, "env_id": "None"}
r,l,t
-220.998883,200,1974.031657
-237.578206,200,1976.336764
-221.175811,200,1978.605728
-211.388743,200,1981.087364
-216.34174,200,1983.680559
-217.567869,200,1986.43159
-223.924688,200,1989.326404
-227.147279,200,1991.906091
-223.241026,200,1994.350336
-215.527652,200,1996.735686
-214.57736,200,1999.305778
-214.046996,200,2001.994696
-224.446761,200,2004.628293
-204.668895,200,2007.365567
-204.744712,200,2009.753032
-230.215003,200,2012.122106
-232.383484,200,2015.158156
-192.289003,200,2017.774518
-220.982208,200,2020.375596
-224.952943,200,2023.009679
-201.918823,200,2025.474071
-229.533348,200,2027.771412
-178.555869,200,2030.113118
-187.261467,200,2032.428586
-218.222847,200,2034.979586
-177.393627,200,2037.715233
-213.519534,200,2040.48455
-208.67385,200,2043.051567
-213.753849,200,2045.589992
-199.901197,200,2048.150191
-207.84476,200,2050.742878
-191.687935,200,2053.372163
-215.282421,200,2056.253273
-239.963951,200,2058.887358
-192.991027,200,2061.767956
-228.758746,200,2064.589247
-229.522672,200,2067.189084
-232.266355,200,2069.876388
-219.10954,200,2072.712426
-233.334431,200,2075.44756
-225.579826,200,2078.215665
-217.590539,200,2080.958265
-234.139248,200,2083.840805
-226.311011,200,2086.436803
-227.420208,200,2088.877357
-235.282114,200,2091.267867
-212.762286,200,2093.736066
-218.042341,200,2096.070382
-216.96907,200,2098.385334
-238.643559,200,2100.693877
-221.44221,200,2103.016463
-160.390679,200,2105.356766
-207.841188,200,2107.652124
-203.845788,200,2109.961795
-165.411711,200,2112.294229
-190.491584,200,2114.598373
-229.830047,200,2116.903058
-234.030818,200,2119.2781
-193.009071,200,2121.905326
-207.857881,200,2124.487225
-183.16138,200,2126.894596
-229.196649,200,2129.265369
-219.379264,200,2131.629088
-212.380331,200,2134.086421
-232.8542,200,2136.544127
-239.582894,200,2138.847698
-218.097003,200,2141.178041
-196.678253,200,2143.446019
-170.410297,200,2145.752138
-216.391225,200,2148.097085
-203.22672,200,2150.439361
-231.164278,200,2152.778686
-201.048687,200,2155.086636
-215.035907,200,2157.374746
-213.378368,200,2159.627986
-232.695597,200,2161.91706
-195.742913,200,2164.243357
-214.121708,200,2166.646843
-164.927567,200,2168.985491
-215.933865,200,2171.309224
-236.590551,200,2173.61552
-226.154099,200,2175.935925
-216.510416,200,2178.258224
-200.404879,200,2180.555593
-227.141272,200,2182.906562
-221.213723,200,2185.167494
-233.059764,200,2187.43415
-231.862875,200,2189.722399
-223.173046,200,2192.004662
-231.838279,200,2194.310577
-226.999855,200,2196.641358
-230.339246,200,2198.951755
-225.2629,200,2201.253201
-222.510369,200,2203.513994
-224.754814,200,2205.838781
-229.745238,200,2208.258116
-247.207674,200,2210.563159
-252.040862,200,2212.84881
-241.296824,200,2215.17248
-249.427106,200,2217.430865
-228.842912,200,2219.705389
-216.473132,200,2222.005668
-230.268063,200,2224.284188
-239.195805,200,2226.567803
-229.067237,200,2228.85364
-224.388647,200,2231.203758
-233.699486,200,2233.476694
-228.079691,200,2235.78191
-229.1223,200,2238.065938
-236.879253,200,2240.334975
-248.918695,200,2242.7056
-211.942056,200,2245.004405
-228.516911,200,2247.288067
-208.525571,200,2249.595045
-217.39666,200,2251.876312
-226.610912,200,2254.172124
-217.375976,200,2256.471285
-205.196095,200,2258.775506
-234.888295,200,2261.055974
-190.907233,200,2263.320011
-235.949286,200,2265.614629
-231.331699,200,2267.871036
-220.688734,200,2270.174027
-214.163221,200,2272.448819
-231.356178,200,2274.745992
-174.455909,200,2277.150044
-235.252909,200,2279.637101
-217.221396,200,2282.0006
-225.215849,200,2284.346922
-220.099114,200,2286.621179
-231.859393,200,2288.995044
-220.817799,200,2291.293048
-222.750088,200,2293.600998
-188.44646,200,2295.887749
-236.665043,200,2298.160245
-188.092157,200,2300.459306
-214.566161,200,2302.833089
-223.093084,200,2305.12427
-213.670374,200,2307.43073
-219.355979,200,2309.721874
-212.727004,200,2312.01594
-213.453893,200,2314.274539
-229.315012,200,2316.57601
-214.379457,200,2318.879426
-222.568574,200,2321.153564
-226.716841,200,2323.425761
-234.957874,200,2325.7981
-230.35284,200,2328.129845
-227.391971,200,2330.476334
-225.302142,200,2332.801931
-229.66737,200,2335.097395
-236.377031,200,2337.863528
-200.438425,200,2340.994174
-229.776767,200,2344.07077
-236.859169,200,2346.647701
-178.626662,200,2348.977496
-156.856773,200,2351.323469
-161.900618,200,2353.834177
-238.432358,200,2356.510933
-223.438424,200,2359.07159
-162.617632,200,2361.600202
